,GeneID,Obs.Log.Mean,Mean.log10,Obs.Log.Std.Dev,log10.Std.Dev
0,YAL001C,0.8948593493180281,-0.897817134857178,0.1039101934136146,0.249228053083746
1,YAL002W,1.1298940618830742,-0.479527980089188,0.0476611316282841,0.148287427480105
2,YAL003W,3.193920038629077,0.924860119819641,0.0247830522296305,0.0508437597237257
3,YAL005C,2.799322834474436,0.883646368980408,0.2344960362402047,0.0281928942922452
4,YAL007C,2.2989212698917285,0.216085836291313,0.0252139927157274,0.0864084867641462
5,YAL008W,1.8289427135612075,-0.50636750459671,0.0328083028064923,0.297283544012863
6,YAL009W,1.5699892499800827,-0.686234295368195,0.0633228596850187,0.308470315028238
7,YAL010C,1.1563663259457222,-0.81550657749176,0.0624056461268865,0.312144649646372
8,YAL011W,0.8427223166062875,-0.454874306917191,0.1529624697101119,0.218882180196914
9,YAL012W,2.818546059695431,0.618845105171204,0.0083948868946256,0.0377540355187782
10,YAL013W,1.0214863936743124,-0.966378629207611,0.0376907458986868,0.339286566675879
11,YAL014C,1.768854561451416,-0.976982951164246,0.0387403361856281,0.354682114850138
12,YAL015C,1.29333430594893,-0.619229435920715,0.066812657986695,0.306180037077953
13,YAL016W,2.0544897370391357,-0.0031351351644843,0.0157477597641979,0.0845438183388977
14,YAL017W,1.0384204231887926,-0.560028553009033,0.1597992276234976,0.191738871176851
15,YAL018C,-1.1712766801428485,-0.0467210486531258,0.0151409241177772,0.130253642464189
16,YAL019W,1.0382224402756697,-0.168746680021286,0.0845281154931408,0.0860101409076828
17,YAL020C,1.0934823359344392,-1.2041072845459,0.076477950844678,0.30332365212257
18,YAL021C,1.399069446148446,-0.210547626018524,0.0159752270221929,0.115282553768308
19,YAL022C,1.5321301939101069,-0.391890585422516,0.0719922290774421,0.204853698000072
20,YAL023C,2.089902351604687,0.290599524974823,0.0660610383598755,0.0416479346455708
21,YAL024C,0.4924662953468364,-0.827138364315033,0.1844754244824997,0.255441951221038
22,YAL025C,1.677658300172398,0.180027708411217,0.0538537389662562,0.087978793002045
23,YAL026C,1.19802986233599,0.0256437379866838,0.047679990561607,0.0498997001731574
24,YAL027W,0.9799867729332518,-0.723563611507416,0.0328153731244103,0.326567678091073
25,YAL028W,1.002980604717956,-0.955471277236938,0.0688523192088951,0.317068149399014
26,YAL029C,1.272255671551487,-0.235527545213699,0.0461307308316948,0.084526609819615
27,YAL030W,2.1784855608678497,-0.605430662631989,0.0395244837738056,0.346079928119979
28,YAL031C,1.1541932192074802,-0.664152860641479,0.0963871668448148,0.251958285138421
29,YAL032C,1.081756572524852,-0.50801420211792,0.1511670367251258,0.264295419975964
30,YAL033W,1.558060226896182,-0.97214549779892,0.1112467168997681,0.332167989959958
31,YAL034C,1.1980060380800752,-0.450965911149979,0.068660781905723,0.242489864430044
32,YAL034W-A,0.8630589806832111,-0.91645359992981,0.1390178093546528,0.327199482138202
33,YAL035W,1.8213835321769376,0.485228806734085,0.0125863477448028,0.0279485944878807
34,YAL036C,1.921420713736629,0.292818516492844,0.0516640052515037,0.0575985595526221
35,YAL037C-A,,-0.642040431499481,,0.394791224721831
36,YAL037W,0.94106448581845,-0.950056374073029,0.0618327136075606,0.330062786851963
37,YAL038W,3.630231533732079,1.1524885892868,0.0517887560450888,0.035214833946142
38,YAL039C,1.7184848191568622,-0.741235017776489,0.0820028706250943,0.32888028094417
39,YAL040C,1.7660930925133351,0.142416551709175,0.1696788611838056,0.0658271941597494
40,YAL041W,1.3845021336546317,-0.662892580032349,0.1108147031425746,0.257851467655548
41,YAL042W,2.1722539577484103,-0.480042517185211,0.0485539827668754,0.253061576833099
42,YAL043C,1.4128099938924403,-0.341847062110901,0.1032119058602438,0.16324948202587
43,YAL044C,2.2180416080390577,0.0411249920725822,0.0526389820239533,0.155045185626567
44,YAL044W-A,2.1866315606044924,-0.397611677646637,0.0365607681571731,0.343173399588148
45,YAL046C,1.9453007783720369,-0.620757579803467,0.0712705685062684,0.36093856844393
46,YAL047C,0.7314326317122918,-0.627532005310059,0.047857221738275,0.277246014741817
47,YAL048C,1.0335696350668508,-0.32165738940239,0.0317554033195982,0.167151436525859
48,YAL049C,2.1433591651262103,-0.15021225810051,0.0099702245579426,0.189614197992285
49,YAL051W,0.987370350143031,-0.321177870035172,0.070005405338777,0.126464725921458
50,YAL053W,2.1505266488775643,0.0473949536681175,0.1676472894665327,0.0652270417174704
51,YAL054C,1.286838466214326,0.303789913654327,0.3544377746092662,0.0411806844112258
52,YAL055W,1.2340888040023452,-0.958308279514313,0.0497587629011644,0.333672026087343
