Unnamed: 0,GeneID,Obs.Log.Mean,Mean.log10,Obs.Log.Std.Dev,log10.Std.Dev,odr_y,Y_residuals
3062,YJR011C,1.1909869491776008,-0.683539509773254,0.0625578655499844,0.345336558077842,-0.1641478921391365,0.5193916176341175
3063,YJR012C,1.4630595081241582,-0.5915846824646,0.0708077623769619,0.344271048210566,-0.03343500346605366,0.5581496789985464
3064,YJR013W,1.5059519214337866,-0.710213959217072,0.0819561416725648,0.319849982934701,-0.017743365405818556,0.6924705938112534
3065,YJR014W,2.134428851689936,0.0816964730620384,0.0271681257728895,0.141002829597282,0.2971144839418577,0.2154180108798193
3066,YJR015W,1.8262113042115364,-0.293880999088287,0.0575270752058846,0.187004527459186,0.13915809641403865,0.43303909550232567
3067,YJR016C,2.571136889658233,0.528252959251404,0.0313784167689709,0.0341877978784174,0.5147050497445692,-0.013547909506834821
3068,YJR017C,2.024328122705627,-0.590616703033447,0.0158157399985146,0.34871581769733,0.24495653977339982,0.8355732428068469
3069,YJR019C,1.4587173500663224,-0.757744550704956,0.0456818034154107,0.336073426537071,-0.03312898982188328,0.7246155608830728
3070,YJR021C,0.9963955116704198,-0.821392893791199,0.1372493511959956,0.340990259160054,-0.2755148492113774,0.5458780445798215
3071,YJR022W,1.2723702756492423,-0.757127046585083,0.1538905083056332,0.378096866349212,-0.14453926610999668,0.6125877804750863
3072,YJR024C,1.9286426682947315,-0.762292921543121,0.021415380992153,0.353535309132901,0.19791802970720707,0.9602109512503281
3073,YJR025C,2.665187038159902,-0.254313975572586,0.0216916718271708,0.279132247636815,0.556723026925933,0.811037002498519
3075,YJR027W,1.5497367304106957,-0.390207707881927,0.0540126695254488,0.115807035724102,-0.0054900309789337465,0.38471767690299324
3077,YJR029W,2.1674654189834635,-0.430687993764877,0.0041444789765894,0.131789057838421,0.31494013281075806,0.745628126575635
3078,YJR030C,0.9229701065318372,-0.972253799438477,0.1770373304586732,0.32115726028481,-0.3358868906052371,0.63636690883324
3079,YJR031C,0.8154560709262603,-0.643486797809601,0.0305667651441104,0.222830453285811,-0.3438432117653427,0.29964358604425834
3080,YJR032W,1.5085347014607713,-0.128995791077614,0.0294100810729376,0.153757456195504,-0.00678915233507249,0.1222066387425415
3081,YJR033C,1.0943004534193053,-0.293777376413345,0.039651281589729,0.108127646682573,-0.20976880921475904,0.08400856719858596
3082,YJR034W,1.7150208627234882,-0.759209036827087,0.0603810696822845,0.381311353843378,0.08969958146108048,0.8489086182881674
3083,YJR035W,0.6713224229969982,-0.749142408370972,0.1030858230736761,0.271898119042138,-0.423481686694648,0.32566072167632404
3084,YJR036C,0.5909093943466365,-1.23678171634674,0.2084475950316782,0.319105444268245,-0.5230768860621441,0.713704830284596
3085,YJR039W,0.9040706180031538,-0.90599250793457,0.1271929957430609,0.297951453296505,-0.32446949582514617,0.5815230121094238
3086,YJR040W,1.4631959856323369,-0.284369021654129,0.0661376274717192,0.141159116171603,-0.0404482043092913,0.24392081734483767
3087,YJR041C,1.2061166884216483,-0.539635419845581,0.1115070475792169,0.213047757036756,-0.1762726745646087,0.36336274528097234
3088,YJR042W,1.5148153884930302,-0.589707791805267,0.0429195164200759,0.262594224844261,-0.006363218315346364,0.5833445734899206
3089,YJR043C,1.1187312663634394,-0.678635478019714,0.0574879548323093,0.331532204274866,-0.1986397169323071,0.47999576108740694
3090,YJR044C,2.3782321142877665,-0.410974323749542,0.0827944072073564,0.358117245328872,0.4074721714786579,0.8184464952281999
3091,YJR045C,2.4633837487976376,0.688387632369995,0.1482941039897968,0.0291297247090532,0.6564937215510053,-0.031893910818989735
3092,YJR046W,1.533213667005335,-0.580285489559174,0.0800193466549818,0.270474125386136,-0.00562715649935297,0.5746583330598211
3093,YJR047C,1.2287467751662626,0.885630011558533,0.037217354155234,0.057884308319803,-0.050304749758179224,-0.9359347613167123
3094,YJR048W,2.55209655294125,0.473374336957932,0.3213548413207886,0.089776226252685,0.48061354636594966,0.007239209408017644
3095,YJR049C,1.3710537526625028,-0.530681729316711,0.022912613057013,0.26672694293659,-0.0733905910294228,0.4572911382872882
3096,YJR050W,1.2829220099929517,-0.979663074016571,0.0810059621274988,0.348507043715325,-0.12633147767940411,0.8533315963371669
3097,YJR051W,1.7266300373274284,-0.0329418256878853,0.0315203386376407,0.0998281712534175,0.09731630331456109,0.13025812900244638
3098,YJR052W,1.1801405590372265,-0.378301322460175,0.0883393855849923,0.21033547285879,-0.17390672697438125,0.20439459548579375
3099,YJR053W,0.5767574228582383,-0.621295392513275,0.1345871533098317,0.287805284767957,-0.4663128828623423,0.15498250965093274
3100,YJR054W,1.5034503450918588,-0.636144936084747,0.3369394276592704,0.299483397357193,-0.15276675355321478,0.4833781825315322
3101,YJR055W,1.1329249091133835,-0.841376543045044,0.0341613052557078,0.369292838387472,-0.1896534031699456,0.6517231398750983
3102,YJR056C,1.4553513642743023,-0.95906788110733,0.0653076727503259,0.349677990195172,-0.039188155066410046,0.9198797260409199
3103,YJR057W,1.6536844193015965,-0.638936161994934,0.045449077122277,0.353664893571638,0.06214831266038989,0.7010844746553239
3104,YJR058C,2.0738454381674165,-0.938294589519501,0.037270949775559,0.357831001636304,0.2663879696366592,1.20468255915616
3105,YJR059W,1.3633277404499378,-0.183401629328728,0.2846059492015873,0.114368474792432,-0.13993756974360871,0.043464059585119286
3106,YJR060W,1.3491225983429318,-0.468150168657303,0.1549798271311224,0.296932516047765,-0.10653593254864124,0.3616142361086618
3107,YJR061W,1.0720115140516853,-0.835571527481079,0.160727874388955,0.304360495443009,-0.2560526178933899,0.5795189095876891
3108,YJR062C,1.5526761564682954,-0.794532179832458,0.0449956718285728,0.336230217021989,0.012322395540918296,0.8068545753733763
3109,YJR063W,2.0871835902546505,-0.0570821650326252,0.0737230961232655,0.259131913428268,0.2697101074603371,0.3267922724929623
3110,YJR064W,2.012157968105145,0.152280941605568,0.0375702421063644,0.0639733279767641,0.23284144308083643,0.08056050147526844
3111,YJR065C,2.3976616761279104,0.146246373653412,0.0218941584771902,0.0728890584581086,0.42144665608365195,0.27520028243024
3112,YJR066W,0.7931726127464039,-0.270120471715927,0.0514542002628549,0.073834286160197,-0.3447882250175586,-0.07466775330163161
3113,YJR067C,1.5852225262803523,-0.727985084056854,0.0573379766149671,0.371947100405667,0.02732796517696512,0.7553130492338191
